Date,Symbol,Open,High,Low,Close,Adj Close,Volume
3/27/2019,KSS,69.110001,70.93,69.110001,69.940002,68.086342,2912000
3/28/2019,KSS,70.699997,71.5,69.019997,69.059998,67.229668,3128200
3/29/2019,KSS,69.529999,69.68,68.419998,68.769997,66.94735,2669100
4/1/2019,KSS,69.309998,70.279999,69.110001,70.209999,68.349182,2503500
4/2/2019,KSS,70.389999,71.160004,70.089996,70.870003,68.991699,2217000
4/3/2019,KSS,71.230003,71.910004,70.809998,71.010002,69.127991,2035400
4/4/2019,KSS,71.360001,73.480003,71.220001,73.459999,71.513054,2497100
4/5/2019,KSS,73.459999,74.239998,71.959999,72,70.091743,2858400
4/8/2019,KSS,72.169998,73.580002,71.849998,72.809998,70.880272,2541800
4/9/2019,KSS,72.389999,73.029999,72.209999,72.449997,70.529816,1908000
4/10/2019,KSS,72.790001,73.959999,71.059998,71.510002,69.614738,3236200
4/11/2019,KSS,71.790001,72.169998,70.050003,70.160004,68.300514,2411400
4/12/2019,KSS,70.559998,71.07,69.410004,69.730003,67.881912,2242800
4/15/2019,KSS,69.75,70.349998,69.339996,69.910004,68.057137,2208900
4/16/2019,KSS,69.279999,70.709999,69.279999,70.480003,68.61203,2419000
4/17/2019,KSS,70.75,71.120003,69.809998,69.830002,67.979256,2669500
4/18/2019,KSS,69.989998,70.879997,69.400002,70.370003,68.504944,2044400
4/22/2019,KSS,69.779999,69.779999,67.019997,67.449997,65.662331,5098200
4/23/2019,KSS,72,75.910004,71.400002,75.480003,73.479523,16102800
4/24/2019,KSS,75.559998,75.800003,73.230003,73.279999,71.337822,5368400
4/25/2019,KSS,73.339996,73.510002,70.959999,71.620003,69.721817,4316100
4/26/2019,KSS,71.099998,72.709999,70.120003,72.410004,70.490883,3367500
4/29/2019,KSS,72.660004,72.739998,71.949997,72.419998,70.50061,2593300
4/30/2019,KSS,72.5,72.800003,70.709999,71.099998,69.215599,3875100
5/1/2019,KSS,71.150002,71.580002,69.75,69.760002,67.911118,2794100
5/2/2019,KSS,69.959999,70.559998,69.010002,70.139999,68.281036,3280800
5/3/2019,KSS,70.25,70.660004,69.120003,69.190002,67.356224,2625700
5/6/2019,KSS,68.25,69.129997,68.080002,68.900002,67.073914,2120300
5/7/2019,KSS,68.519997,68.550003,66.949997,67.529999,65.740211,3617100
5/8/2019,KSS,67.5,69.449997,66.980003,68.540001,66.72345,2772000
5/9/2019,KSS,67.919998,68.650002,66.860001,68.370003,66.557953,3509900
5/10/2019,KSS,67.870003,68.199997,66.050003,67.059998,65.282669,2241300
5/13/2019,KSS,66.230003,66.349998,63.610001,64.400002,62.693172,5033000
5/14/2019,KSS,64.669998,66.290001,63.459999,65.5,63.764015,4798300
5/15/2019,KSS,65.139999,67.639999,63.75,64.220001,62.517944,5818400
5/16/2019,KSS,64.43,64.769997,63.439999,63.77,62.079872,4011700
5/17/2019,KSS,63.380001,64.629997,62.790001,63.599998,61.914375,2947100
5/20/2019,KSS,63.48,64.150002,62.68,62.91,61.242661,5055200
5/21/2019,KSS,55.27,57.709999,54.150002,55.150002,53.688332,25969600
5/22/2019,KSS,54.59,55.369999,53.009998,53.439999,52.023651,11349500
5/23/2019,KSS,52.919998,53.060001,50.630001,51.150002,49.794346,10659700
5/24/2019,KSS,50.959999,52.099998,50.400002,51.119999,49.765141,5670600
5/28/2019,KSS,51.099998,52.130001,50.66,51.110001,49.755405,6581600
5/29/2019,KSS,50.720001,51.759998,50.02,50.509998,49.171303,5557500
5/30/2019,KSS,50.830002,51.650002,50.119999,50.279999,48.947403,4818900
5/31/2019,KSS,49.880001,49.880001,48.709999,49.32,48.012844,4497800
6/3/2019,KSS,49.32,51.32,49.150002,50.279999,48.947403,4821200
6/4/2019,KSS,49.860001,51.27,49.799999,50.389999,49.054485,5946400
6/5/2019,KSS,50.48,50.689999,47.98,48.900002,47.603981,7250900
6/6/2019,KSS,48.400002,48.900002,47.080002,47.970001,46.698627,6105900
6/7/2019,KSS,48.02,48.580002,47.529999,48.18,46.903061,4027900
6/10/2019,KSS,48.669998,50.040001,48.669998,48.799999,47.506626,5959400
6/11/2019,KSS,48.299999,48.82,47.419998,47.950001,47.32896,3241600
6/12/2019,KSS,47.66,48.360001,47.630001,47.970001,47.348701,3734200
6/13/2019,KSS,47.990002,48.970001,47.830002,48.73,48.098854,3636100
6/14/2019,KSS,48.689999,48.900002,47.400002,47.77,47.151291,3982600
6/17/2019,KSS,47.73,48.459999,47.240002,47.470001,46.855175,3206400
6/18/2019,KSS,47.59,48.389999,47.09,47.419998,46.80582,3907500
6/19/2019,KSS,47.549999,47.619999,46.700001,46.889999,46.282688,5083000
6/20/2019,KSS,47.299999,47.5,46.18,46.880001,46.27282,4022600
6/21/2019,KSS,46.849998,47.869999,46.240002,47.509998,46.894657,5949600
6/24/2019,KSS,47.18,47.290001,45.759998,45.98,45.384472,5295900
6/25/2019,KSS,45.919998,46.23,45.209999,46.009998,45.414085,5352100
6/26/2019,KSS,46.349998,47.130001,46.040001,46.459999,45.858257,5166000
6/27/2019,KSS,46.470001,47.259998,46.060001,46.82,46.213593,4289400
6/28/2019,KSS,47.02,47.830002,46.720001,47.549999,46.934139,5832600
7/1/2019,KSS,48.330002,49.18,47.450001,47.849998,47.230251,5616600
7/2/2019,KSS,47.849998,48.040001,46.790001,47.110001,46.49984,3435100
7/3/2019,KSS,47.189999,48.119999,47.009998,47.52,46.90453,2159600
7/5/2019,KSS,47.580002,48.689999,47.540001,48.279999,47.654682,2852900
7/8/2019,KSS,48.290001,48.740002,48.02,48.27,47.644814,3656200
7/9/2019,KSS,48.290001,48.470001,47.700001,47.75,47.13155,3375000
7/10/2019,KSS,47.75,47.970001,47.119999,47.16,46.549191,3214600
7/11/2019,KSS,47.490002,48.330002,47.259998,48.119999,47.496758,3180500
7/12/2019,KSS,48.310001,49.200001,47.950001,48.709999,48.079113,2858800
7/15/2019,KSS,48.740002,49.57,48.720001,49.259998,48.62199,2839800
7/16/2019,KSS,49.290001,50.18,49.16,49.84,49.194481,2390100
7/17/2019,KSS,49.599998,49.82,48.490002,48.599998,47.970539,2722200
7/18/2019,KSS,48.59,49.040001,48.23,48.57,47.940929,2593100
7/19/2019,KSS,48.82,49.790001,48.810001,49.330002,48.691086,2657200
7/22/2019,KSS,49.650002,50.529999,49.200001,49.650002,49.006943,3525500
7/23/2019,KSS,49.82,50.880001,49.59,50.720001,50.063084,4610000
7/24/2019,KSS,50.869999,51.900002,50.650002,51.619999,50.951424,3117100
7/25/2019,KSS,51.720001,52.060001,50.630001,51.099998,50.43816,2985100
7/26/2019,KSS,51.200001,52.32,50.619999,52.299999,51.622616,2988500
7/29/2019,KSS,52.27,53.709999,52.27,53.459999,52.767593,4759300
7/30/2019,KSS,53.07,53.630001,52.310001,53.299999,52.609665,3414400
7/31/2019,KSS,53.310001,54.860001,52.93,53.860001,53.162415,5720300
8/1/2019,KSS,53.959999,53.959999,49.18,49.650002,49.006943,5908900
8/2/2019,KSS,49.650002,50.279999,49.07,50.18,49.530075,4163500
8/5/2019,KSS,49.220001,49.509998,47.970001,49.450001,48.809532,3679400
8/6/2019,KSS,49.75,50.580002,49.380001,50.470001,49.816322,2835700
8/7/2019,KSS,49.57,50.669998,48.939999,50.560001,49.905155,3557100
8/8/2019,KSS,50.59,51.32,49.810001,50.150002,49.500465,4356700
8/9/2019,KSS,49.970001,49.970001,48.759998,49.060001,48.424583,3303200
8/12/2019,KSS,48.75,49.610001,48.599998,49.200001,48.562771,3739800
8/13/2019,KSS,48.990002,52.5,48.57,50.669998,50.013729,5691700
8/14/2019,KSS,47.610001,47.619999,44.759998,45.110001,44.525742,10258100
8/15/2019,KSS,45.459999,45.650002,43.330002,44.27,43.696621,6601400
8/16/2019,KSS,44.68,45.849998,44.330002,45.509998,44.920559,3864600
8/19/2019,KSS,46.330002,48.349998,46.049999,48.200001,47.575722,6038700
8/20/2019,KSS,47.630001,48.369999,44.790001,44.880001,44.298721,14901400
8/21/2019,KSS,45.639999,47.349998,44.900002,47.060001,46.450489,7286900
8/22/2019,KSS,47.5,48.27,46.549999,47.330002,46.716991,4251300
8/23/2019,KSS,46.68,47.560001,45.009998,45.18,44.594837,5544400
8/26/2019,KSS,45.389999,45.68,44.41,45.349998,44.76263,3684700
8/27/2019,KSS,45.630001,45.93,44.740002,44.75,44.170406,2883900
8/28/2019,KSS,44.57,46.389999,44.57,46.25,45.650978,3080600
8/29/2019,KSS,46.959999,47.619999,46.810001,47.209999,46.598541,3417900
8/30/2019,KSS,47.540001,48.220001,47.139999,47.259998,46.647892,2506100
9/3/2019,KSS,46.610001,47.23,45.93,46.220001,45.621368,3191900
9/4/2019,KSS,47,47.439999,46.419998,47.09,46.480099,3273800
9/5/2019,KSS,48.119999,48.68,47.509998,48.25,47.625072,4823900
9/6/2019,KSS,48.560001,49.200001,48.310001,48.560001,47.931061,3235400
9/9/2019,KSS,48.709999,52.07,48.369999,51.73,51.060001,6975600
9/10/2019,KSS,50.900002,51.459999,49.91,51.099998,51.099998,4713200
9/11/2019,KSS,51.470001,52.77,50.23,52.330002,52.330002,3932600
9/12/2019,KSS,51.970001,53.200001,50.91,52.360001,52.360001,4118700
9/13/2019,KSS,53.200001,54.200001,52.25,52.700001,52.700001,2926500
