Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2,S&P 500,rolling_covariance,rolling_variance,rolling_beta,0
2018-10-17,0.009851947574398556,-0.00043543578381355363,0.01047471647570286,-0.007346869522451781,0.0004794574702548914,-0.005467945312412677,0.014602099119467749,-2.2855280152167873e-05,5.7497108897925564e-05,-0.3975031195523723,-0.014416016851838832
2018-10-18,-0.010673246483467458,-0.0053355410325681705,-0.013776319712977658,-0.029240332570656506,-0.003965706276844463,-0.01188707266157357,0.0003613003923721436,-2.3815729370645696e-05,5.738475298313141e-05,-0.4150184174818435,-0.0026614005953121316
2018-10-19,-0.01477258502653944,0.001980151494736848,0.0237418811825516,-0.0100303562800782,-0.009592779906083728,-0.010301669812292457,0.0043180399727129615,-2.2386315724731812e-05,5.699404498061044e-05,-0.39278341679990797,-0.0028479021244327924
2018-10-22,-0.012041518255137551,-0.0052047136712466404,-0.017305171356688964,0.01042435320188706,0.0006254259653814838,-0.00695142340807817,0.0055423999065928875,-2.0173976407684816e-05,5.695032272195029e-05,-0.3542381402504184,0.013115941899300357
2018-10-23,-0.005790486994541655,-0.003995439761766306,0.003268764670131485,-0.0044785168295427,-0.001661953237947794,-0.00904626645915853,0.03184744550280483,-2.332882427017613e-05,7.286206502003406e-05,-0.3201779178748457,0.0013458280872161719
2018-10-24,-0.029192213324760963,-0.03209942831322432,-0.021168939821991528,-0.04936963562990415,-0.0189362005578426,-0.026469773328941192,-0.018284501971858158,-8.229479525609526e-06,7.906767168528864e-05,-0.10408147034308975,-0.007432442194631572
2018-10-25,0.0215495016937064,0.008035758072109989,0.008064186500158499,0.03954845857349154,0.012553623779646028,0.014106996300181574,0.017632743945326546,4.1083995690598775e-06,8.326027418489411e-05,0.04934405524459903,0.019795544223641638
2018-10-26,-0.019403557909404626,-0.00771786016479714,-0.024951169076115054,-0.01504327024862562,-0.0006110754174662447,-0.009695608298776538,0.006602934216753509,4.1407770585366985e-06,8.319601198033546e-05,0.049771340716613065,-0.008998136630207838
2018-10-29,-0.008862569304325163,-0.0005392257408485257,0.00959667215049187,-0.0266349843407645,-0.014957011925562876,-0.008411795434263814,-0.015425161129190457,1.085502593196046e-05,8.748335828743356e-05,0.12408103831925844,0.021443038855926872
2018-10-30,0.017068602964736446,0.005053451246334273,0.009168340539645436,0.020352493182622663,0.0057371932011629715,0.0093610639513366,-0.010734804959177335,6.944537331831221e-06,8.956735828134488e-05,0.0775342431113951,0.026255687655509487
2018-10-31,0.015615495394285084,0.005791195864119691,-0.0024825043427052496,0.038588798780660793,0.02215100997224197,0.006853501101623448,-0.01044749431646097,-9.619360509566186e-07,9.171861527942414e-05,-0.010487904205989646,-0.026715735979058818
2018-11-01,0.015545460414422731,0.022372155514067904,0.022348371056692518,0.02018461566244234,0.028358656641746582,0.01911425175339625,0.006356819166672745,1.182189368775484e-06,9.223749850552614e-05,0.012816797809240853,0.0029045518885537263
2018-11-02,-0.0008782597778753676,-0.004116395786917693,-0.06390593232880926,-0.012466483120162077,0.0036111276156367,-0.0010455990615587368,-0.0055691284040155775,2.214744893954011e-06,9.220368573828773e-05,0.024020134078374857,0.008873285687134228
2018-11-05,0.002988102812451876,0.0017820771447052406,0.0226998785854291,0.001978217155563789,0.008879883357089391,-0.0003296140485751815,-0.006220399571757795,2.600913666511752e-06,9.276865990351778e-05,0.028036555332552837,0.018845812655696514
2018-11-06,0.0024186983009912844,0.01875382309286855,0.014526704478952325,0.0016943051145668073,-0.0016198308915793026,0.004327370518867528,-0.020768402460650592,1.5198710727780014e-06,9.955378768293689e-05,0.015266833218024321,0.006674823372399441
2018-11-07,0.013337360334213509,0.005448990788565089,0.011901555297371136,0.02683649939285604,0.003824712989762015,0.01437135262614421,0.0025152930530170092,3.082103187301291e-06,9.869421759084127e-05,0.031228812209432896,0.010201272624972946
2018-11-08,-0.010045279102325888,-0.004841379756939657,-0.006051663515695083,-0.028507063651460607,0.0008064326595525222,0.00022822374962386992,0.00928439667602765,-3.5122119551083112e-06,9.89580883466522e-05,-0.03549191393840351,0.00963536113968666
2018-11-09,-0.012145396175643808,-0.006837611024558932,0.004150016649108634,-0.01863884078739131,0.008068668779909777,-0.013437231488810729,0.020097424272435882,-9.176728807587492e-06,0.00010514396780889854,-0.08727774877457922,-0.00026883033001072026
2018-11-12,-0.018183827861216303,-0.009606380428554884,-0.010553838537894268,-0.02155893072893844,0.0072581035336380375,-0.015427810828043998,0.001484104651419127,-9.802491929200107e-06,0.0001049726240138662,-0.0933814127377178,-0.015933844935493248
2018-11-13,0.0,0.0,0.0,0.0,-0.007843165041164897,-0.001947182770340761,0.007625167494577312,-8.979890863649594e-06,0.00010557767844400164,-0.08505482404988213,-0.009946283240887458
2018-11-14,-0.0019169489215353774,-0.00830446621629122,-0.010577361081709702,0.006289176767772853,0.003043361197724337,-0.009249604324276328,-0.010482748516592144,-1.0511523314953647e-05,0.00010777993508049434,-0.09752764563370003,-0.02736116364259422
2018-11-15,0.00688645645046293,0.006806384573337486,0.0009005689365682024,0.019773254762914142,0.0507353374551575,0.008929962037593329,-0.002218348335507936,-1.1779572094543674e-05,0.00010792147759636481,-0.10914947012308561,-0.027382189084944497
2018-11-16,0.005377193243714773,-0.0002107503553873125,-0.0022110248944868798,-0.009001079156664371,0.00023266679923372691,0.00285237123162355,0.01692477506104284,-1.463801770158633e-05,0.00011137816589186538,-0.13142627717355357,-0.013976152926625239
2018-11-19,-0.0172766950636567,-0.012187312272685102,-0.009245731609394127,-0.048750204991354185,-0.0021819771515484963,-0.017075635272145184,0.01848676515676284,-2.5775076197460796e-05,0.0001149723876307128,-0.22418492586454253,-0.01786320346224901
2018-11-20,-0.02221516894486586,-0.01630615805321467,-0.018707237986166025,-0.017058872273887582,-0.0002457164700258793,-0.01434343672451547,-0.0030340424086673368,-2.399063021371784e-05,0.00011527425476017501,-0.20811785132447572,-0.07731204024123635
2018-11-21,0.012991497755632464,0.009498028495389388,0.00908591507795542,0.018122957681815155,0.015158647139641575,0.01155762611922707,0.006598140213328385,-2.245577350255873e-05,0.00011478195452754708,-0.19563853564777434,0.010714194380919249
2018-11-23,0.0017199877866092006,-0.0007385348062716178,-0.0011309970770422286,-0.009679747516476713,-0.004997206851316627,0.0011753010100707634,-0.015294843741233244,-2.0899802558226122e-05,0.00011947286095889113,-0.17493347351426897,-0.018318820219358045
2018-11-26,0.017137015274625078,-0.0022143768179496703,0.00714136194278181,0.037716637413033334,0.0036593493908670775,0.004545555877580201,-0.0032510989236328447,-2.437084493085425e-05,0.00011979914315850353,-0.20343087845469593,0.01918772695683183
2018-11-27,0.005143439265718364,-0.0008011994446990299,0.009636225508482088,0.0037219582074690116,-0.012634742123080423,-0.006782711697381517,-0.022457986945064956,-2.6907564077097662e-05,0.00012925640806556854,-0.20817199301599135,0.022303275907626038
2018-11-28,0.01474809568908819,0.01372294000330232,0.0037497507487969095,0.02796178552664741,-0.0004239763111939417,0.020121501783228957,0.0022025305359125724,-2.5901799562174822e-05,0.0001292245549028424,-0.20044023043181783,0.01581374061587204
2018-11-29,-0.0006317140814112722,0.0008084448829130952,-0.001969010342863231,-4.1736349373433505e-05,0.02165005764293537,-0.002446643602967109,-0.008119065130046232,-2.425079575627454e-05,0.00013045736699092607,-0.18589058108126083,-0.013709070479279642
2018-11-30,-0.002263526762229073,-0.004424467085050732,0.0023905934112964373,0.0010828291768540943,-0.00999570481951621,0.0024938621342255178,-0.0108229374599067,-2.4614336053092026e-05,0.00013264775246229203,-0.18556165178968395,0.000597613123154835
2018-12-03,0.0024026110722723537,0.0005301825893797574,0.004974595743989729,0.022943333717377005,0.004465234081978296,0.009465377307370952,0.03344740487248421,-1.1285241069050497e-05,0.0001505441627900061,-0.07496299331640158,0.014455559550342759
2018-12-04,-0.025609522512443417,-0.015528236033324537,-0.03025432370069492,-0.03794131048025229,0.0008224015325684202,-0.031953239755570365,0.0015245089857007788,-1.1528554375577152e-05,0.0001501388583380302,-0.07678594671088536,-0.03917549264617063
2018-12-06,0.004427482287360007,-0.0013124886554689574,-0.005372782573607071,0.0076610599388711184,-0.006886278768819007,-0.003115933788258165,0.023876980570282758,-7.87885565447733e-06,0.00015863124722224407,-0.049667740703311564,0.001237212310719419
2018-12-07,-0.01990168274405657,-0.012730064197972957,-0.02269792985514385,-0.024372293960964183,0.003689673818345975,-0.015534840362596431,-0.0017590949759640484,-5.922857471424537e-06,0.00015801983447697823,-0.03748173443560614,-0.029848666986360753
2018-12-10,-0.00985440769730872,-0.004736048408402471,-0.007709239833999405,-0.002190218718777781,-0.01615559928832493,-0.004269721369242405,0.0003564954224468675,-5.653152935266569e-06,0.00015798455254234045,-0.03578294741032673,0.012392021397783207
2018-12-11,-0.0016859504789149546,-0.0031644704885670505,0.0006114649837194452,0.0012622273400104687,-0.008390511036697787,-0.0025421531247689197,-0.0053902763789714925,-6.003097005971515e-06,0.00015854195857085136,-0.03786440548663192,-0.012428578361512788
2018-12-12,0.00912822703419458,0.008147170473933095,0.002797620213604413,0.017474871150531257,0.0020481073627450896,0.0063206337105963795,0.00019995925358617939,-8.758864313057062e-06,0.0001577670390863063,-0.055517707398093044,0.008026068157686545
2018-12-13,-0.006230765195938237,-0.005056075931605397,0.0004762474237971493,-0.004339990288356521,-0.012556014986111056,-0.01040779276790648,0.019458066501278903,-9.191469414501068e-06,0.00016291180989730914,-0.056419908540055366,-0.02073233398499652
2018-12-14,-0.007269209379226259,-0.012272963950992866,-0.020367144840965582,-0.015390699433727284,-0.007552062279963027,-0.0135737540033654,0.021214168440732983,-1.2450269189422287e-05,0.00016736248123854836,-0.07439104091481785,-0.0012037949551838936
2018-12-17,-0.020118824164694904,-0.00983681154421534,-0.016709098911715237,-0.031662952118237116,0.0016242074009364634,-0.02507980586839505,-8.640462500386636e-05,-1.0719260301945494e-05,0.000167397737575201,-0.0640346784682799,-0.019804449455298873
2018-12-18,-0.00336609463965698,-0.004434381597748116,-0.007273261541912213,0.003683733125097843,-0.004326099408133924,-0.007642113777677405,0.0156364680728851,-9.373332787342511e-06,0.00017029489436902646,-0.05504177222736133,0.014421793350020437
2018-12-19,-0.016730936718346245,-0.02125402331843851,-0.02055886502901738,-0.015881346122785245,-0.010074112499200935,-0.014649821247357928,0.01602483565829904,-1.23999003418825e-05,0.00017324769079825122,-0.07157325032587197,-0.018603013087852244
2018-12-20,-0.016672784173845656,-0.008347241605965006,-0.011045183477194407,-0.02546316304850782,-0.026095103789339588,-0.02379289603420566,0.021021095579776716,-1.9332107926932952e-05,0.00017873992281976052,-0.10815775022140547,-0.027168698172486978
2018-12-21,-0.022719710074979197,-0.020979601650152783,-0.022569593410260547,-0.028892379627692973,-0.01788751858447328,-0.02163557168574526,0.02786780655863219,-2.8733693964213108e-05,0.00018822331426896293,-0.1526574647556886,-0.006820538234997952
2018-12-24,-0.019152321392093108,-0.011785940652535576,-0.02916529805876112,-0.02018096741565956,-0.003937813976790921,-0.01474497287099455,-0.04725047615188227,-1.4320133683503532e-05,0.00023132166225260818,-0.06190571840118303,-0.0005329203131448169
2018-12-26,0.042976856380452455,0.029338060797927223,0.030958017343518437,0.05990873102736316,0.02274991144599324,0.03082230381146604,-0.00848993302073675,-2.6425866527648652e-05,0.00023278960405914616,-0.11351824165195316,0.07128290853448119
2018-12-27,0.004183800905909196,-0.007472279963052997,0.009148608379345502,0.004813197818230863,0.0015706360547551087,0.000493577834619133,0.0012430905887181876,-2.672577908542896e-05,0.0002327323932115494,-0.11483480540302668,-0.0032595930084162355
2018-12-28,0.0011448153809039407,0.0008628176998806136,-0.004019363313438995,-0.0061780611089719,0.01466400814026293,0.011663716224865698,-0.008420926660949068,-2.6507971735305447e-05,0.0002346462731686773,-0.11296992437740525,0.004487257329152487
2018-12-31,0.0070589775633920215,0.005695022222804047,-0.0040835962824744545,0.0056957122904415245,0.006768124753852593,0.005743146096253293,-0.0012669171284807046,-2.7627052735802224e-05,0.00023436554144691207,-0.11788018223685942,0.016046919331858644
2019-01-02,0.00602655702367616,0.015429101592371984,0.007880761326088281,-0.001553516777374031,0.05034224414830393,0.01802201338787884,0.02538512759968814,-2.60140040178712e-05,0.00024294961288908763,-0.10707571709425699,0.009781167175983761
2019-01-03,-0.007847805221634974,-0.007403227695160885,-0.008477709865867933,-0.03205291842712465,0.015246094532821431,-0.01179185375178789,-0.03319588931807238,-8.580752002864201e-06,0.0002645677033618088,-0.032433104622485304,-0.013310164680986114
2019-01-04,0.02988141249291298,0.027031659317464873,0.03356032870388126,0.061341261344090015,0.017621918816810824,0.030509175717565725,-0.006961630629605975,-1.855318620480052e-05,0.00026598999423608236,-0.06975144406497275,0.006860950788462272
2019-01-07,0.009051443647673851,0.014474526781223409,0.01411109840660174,0.017184766514208416,0.014748202984348096,0.016942369145473514,-0.009602200115754633,-2.1183340078761013e-05,0.00025064382669241753,-0.08451570644409512,0.028262884642801318
2019-01-08,0.010759764672161332,0.008050164280441141,0.0015437655976402453,0.005851461700144389,0.010824927679193965,0.010478993237787464,-0.004081301064620013,-3.967309501375692e-06,0.0002444936680304535,-0.016226634960875688,0.007726624690118792
2019-01-09,0.00862956328484521,-0.0007997282666609706,-0.0005343848097381088,0.01978783764314307,0.00021372270174369048,0.009657618695567666,-0.0044981206482223035,-5.457497279297528e-06,0.00024115653090156966,-0.022630518273316254,0.005640030270079126
2019-01-10,0.002869248956018477,-0.0003879258000246688,0.007422834117905896,0.003162938292108564,0.0030867289268032786,0.0033655538544154154,0.00014636438569315402,-8.070884048278361e-06,0.0002407809606977927,-0.033519610624065214,-0.025261511782174503
2019-01-11,0.011189741475398751,0.004231628670805954,0.002050705238359374,-0.002151893358983248,-0.0051119222578624,0.0038846483481752288,0.005285350865984473,-9.870894035644301e-06,0.00023258690376869217,-0.04243959516078735,0.009678797752488031
2019-01-14,-0.001998812844672737,-0.005161467852423884,0.007797649465357549,-0.0012533995979159276,-0.0056419957633679066,-0.00665906688811234,-0.010607976094701765,-9.084309736625223e-06,0.00023501992159166804,-0.03865336042622219,-0.006422352403823087
2019-01-15,0.006396735631367001,0.0028514140568789426,0.012878778172375592,0.02156590644391509,0.0003690504618276813,0.007277293798413442,-0.002217040633003209,-8.844420655871146e-06,0.00023217365436796505,-0.03809398908738323,0.004614534081002282
2019-01-16,0.004426131525724353,0.0006457383903224477,0.0056571463293939575,0.0043541183977042755,-0.0014225979881724278,0.00446948870473074,-0.00753425696899801,-9.802267809385439e-06,0.0002333996951185433,-0.041997774694636524,-0.0004218007125434223
2019-01-17,0.0036672720027370884,0.007093387858735145,0.0061091071969605615,0.005210365390994953,-0.0008510611301699089,0.004453704159383,-0.013011521280857918,-1.0332546378936681e-05,0.00023641379489708543,-0.0437053446201589,0.01563556595708763
2019-01-18,0.004605311400046164,0.005346024985507514,0.009284613760543792,0.01397430317088455,-0.004570147013486564,0.010387498623490149,0.014360590983326427,-8.021170684180077e-06,0.00023917531803781912,-0.03353678276665548,0.015080743131396178
2019-01-22,-0.01437124332902451,-0.011829806838208556,-0.008773857533629914,-0.022135678107699897,0.0042362447230472325,-0.011538924918288226,-0.0021980520710954687,-4.43459459779093e-06,0.00022264685164394944,-0.01991761646323483,-0.005802462174094894
2019-01-23,-0.0005203754139753158,6.265124082194261e-05,-0.00023972214661716065,0.0018974144579568808,0.009547708870012592,-0.002803795702856012,-0.001373787528431425,-2.02683536705068e-05,0.00021680586728643894,-0.09348618616362775,0.005274970399424446
2019-01-24,0.005937358854003705,0.00714610135382321,-0.003747984002294924,0.01217636596258398,-0.002755338133934409,0.005871118430846355,-0.008417268346868068,-3.333321326935807e-05,0.00021298781657949812,-0.1565029108456839,-0.005323624689644831
2019-01-25,0.012897186886609235,0.010721595066177423,0.007475595108699995,0.02118995644715249,0.0003843002624099607,0.010659235327605774,0.007908920702763167,-2.8876637134911388e-05,0.00021330559594444533,-0.13537683813242388,0.015101781856692234
2019-01-28,-0.0007128949067674029,-0.0038583158924014867,0.0020473886062466477,-0.005807228174172453,-0.009026213144247331,-0.0038047457306434173,0.0014583333333333393,-3.6455210565925816e-05,0.00020917753674999618,-0.174278802266881,-0.006818362379860776
2019-01-29,-0.0047868516741415,-0.007697444954024801,-0.0003124906214998502,-0.007686680253349065,0.005380469253157693,-0.0008038364800144082,-0.015311165401615145,-3.049842405245941e-05,0.00021124930305887335,-0.14437171441914656,-0.0025191187524757535
2019-01-30,0.008519014711551476,0.0105214767522106,0.0015556694592175901,0.027241883952477952,0.004866355101879844,0.011322102062022362,-0.00852409304389623,-2.7573304401552974e-05,0.0002106106256359905,-0.13092076583642734,-0.0058586804575477824
